Gene_mutation,T1w_shape_Elongation,T1w_shape_Flatness,T1w_shape_LeastAxisLength,T1w_shape_MajorAxisLength,T1w_shape_Maximum2DDiameterColumn,T1w_shape_Maximum2DDiameterRow,T1w_shape_Maximum2DDiameterSlice,T1w_shape_Maximum3DDiameter,T1w_shape_MeshVolume,T1w_shape_MinorAxisLength,T1w_shape_Sphericity,T1w_shape_SurfaceArea,T1w_shape_SurfaceVolumeRatio,T1w_shape_VoxelVolume,T1w_firstorder_10Percentile,T1w_firstorder_90Percentile,T1w_firstorder_Energy,T1w_firstorder_Entropy,T1w_firstorder_InterquartileRange,T1w_firstorder_Kurtosis,T1w_firstorder_Maximum,T1w_firstorder_MeanAbsoluteDeviation,T1w_firstorder_Mean,T1w_firstorder_Median,T1w_firstorder_Minimum,T1w_firstorder_Range,T1w_firstorder_RobustMeanAbsoluteDeviation,T1w_firstorder_RootMeanSquared,T1w_firstorder_Skewness,T1w_firstorder_TotalEnergy,T1w_firstorder_Uniformity,T1w_firstorder_Variance,T1w_glcm_Autocorrelation,T1w_glcm_JointAverage,T1w_glcm_ClusterProminence,T1w_glcm_ClusterShade,T1w_glcm_ClusterTendency,T1w_glcm_Contrast,T1w_glcm_Correlation,T1w_glcm_DifferenceAverage,T1w_glcm_DifferenceEntropy,T1w_glcm_DifferenceVariance,T1w_glcm_JointEnergy,T1w_glcm_JointEntropy,T1w_glcm_Imc1,T1w_glcm_Imc2,T1w_glcm_Idm,T1w_glcm_Idmn,T1w_glcm_Id,T1w_glcm_Idn,T1w_glcm_InverseVariance,T1w_glcm_MaximumProbability,T1w_glcm_SumEntropy,T1w_glcm_SumSquares,T1w_glrlm_GrayLevelNonUniformity,T1w_glrlm_GrayLevelNonUniformityNormalized,T1w_glrlm_GrayLevelVariance,T1w_glrlm_HighGrayLevelRunEmphasis,T1w_glrlm_LongRunEmphasis,T1w_glrlm_LongRunHighGrayLevelEmphasis,T1w_glrlm_LongRunLowGrayLevelEmphasis,T1w_glrlm_LowGrayLevelRunEmphasis,T1w_glrlm_RunEntropy,T1w_glrlm_RunLengthNonUniformity,T1w_glrlm_RunLengthNonUniformityNormalized,T1w_glrlm_RunPercentage,T1w_glrlm_RunVariance,T1w_glrlm_ShortRunEmphasis,T1w_glrlm_ShortRunHighGrayLevelEmphasis,T1w_glrlm_ShortRunLowGrayLevelEmphasis,T1w_glszm_GrayLevelNonUniformity,T1w_glszm_GrayLevelNonUniformityNormalized,T1w_glszm_GrayLevelVariance,T1w_glszm_HighGrayLevelZoneEmphasis,T1w_glszm_LargeAreaEmphasis,T1w_glszm_LargeAreaHighGrayLevelEmphasis,T1w_glszm_LargeAreaLowGrayLevelEmphasis,T1w_glszm_LowGrayLevelZoneEmphasis,T1w_glszm_SizeZoneNonUniformity,T1w_glszm_SizeZoneNonUniformityNormalized,T1w_glszm_SmallAreaEmphasis,T1w_glszm_SmallAreaHighGrayLevelEmphasis,T1w_glszm_SmallAreaLowGrayLevelEmphasis,T1w_glszm_ZoneEntropy,T1w_glszm_ZonePercentage,T1w_glszm_ZoneVariance,T1w_gldm_DependenceEntropy,T1w_gldm_DependenceNonUniformity,T1w_gldm_DependenceNonUniformityNormalized,T1w_gldm_DependenceVariance,T1w_gldm_GrayLevelNonUniformity,T1w_gldm_GrayLevelVariance,T1w_gldm_HighGrayLevelEmphasis,T1w_gldm_LargeDependenceEmphasis,T1w_gldm_LargeDependenceHighGrayLevelEmphasis,T1w_gldm_LargeDependenceLowGrayLevelEmphasis,T1w_gldm_LowGrayLevelEmphasis,T1w_gldm_SmallDependenceEmphasis,T1w_gldm_SmallDependenceHighGrayLevelEmphasis,T1w_gldm_SmallDependenceLowGrayLevelEmphasis,T2w_shape_Elongation,T2w_shape_Flatness,T2w_shape_LeastAxisLength,T2w_shape_MajorAxisLength,T2w_shape_Maximum2DDiameterColumn,T2w_shape_Maximum2DDiameterRow,T2w_shape_Maximum2DDiameterSlice,T2w_shape_Maximum3DDiameter,T2w_shape_MeshVolume,T2w_shape_MinorAxisLength,T2w_shape_Sphericity,T2w_shape_SurfaceArea,T2w_shape_SurfaceVolumeRatio,T2w_shape_VoxelVolume,T2w_firstorder_10Percentile,T2w_firstorder_90Percentile,T2w_firstorder_Energy,T2w_firstorder_Entropy,T2w_firstorder_InterquartileRange,T2w_firstorder_Kurtosis,T2w_firstorder_Maximum,T2w_firstorder_MeanAbsoluteDeviation,T2w_firstorder_Mean,T2w_firstorder_Median,T2w_firstorder_Minimum,T2w_firstorder_Range,T2w_firstorder_RobustMeanAbsoluteDeviation,T2w_firstorder_RootMeanSquared,T2w_firstorder_Skewness,T2w_firstorder_TotalEnergy,T2w_firstorder_Uniformity,T2w_firstorder_Variance,T2w_glcm_Autocorrelation,T2w_glcm_JointAverage,T2w_glcm_ClusterProminence,T2w_glcm_ClusterShade,T2w_glcm_ClusterTendency,T2w_glcm_Contrast,T2w_glcm_Correlation,T2w_glcm_DifferenceAverage,T2w_glcm_DifferenceEntropy,T2w_glcm_DifferenceVariance,T2w_glcm_JointEnergy,T2w_glcm_JointEntropy,T2w_glcm_Imc1,T2w_glcm_Imc2,T2w_glcm_Idm,T2w_glcm_Idmn,T2w_glcm_Id,T2w_glcm_Idn,T2w_glcm_InverseVariance,T2w_glcm_MaximumProbability,T2w_glcm_SumEntropy,T2w_glcm_SumSquares,T2w_glrlm_GrayLevelNonUniformity,T2w_glrlm_GrayLevelNonUniformityNormalized,T2w_glrlm_GrayLevelVariance,T2w_glrlm_HighGrayLevelRunEmphasis,T2w_glrlm_LongRunEmphasis,T2w_glrlm_LongRunHighGrayLevelEmphasis,T2w_glrlm_LongRunLowGrayLevelEmphasis,T2w_glrlm_LowGrayLevelRunEmphasis,T2w_glrlm_RunEntropy,T2w_glrlm_RunLengthNonUniformity,T2w_glrlm_RunLengthNonUniformityNormalized,T2w_glrlm_RunPercentage,T2w_glrlm_RunVariance,T2w_glrlm_ShortRunEmphasis,T2w_glrlm_ShortRunHighGrayLevelEmphasis,T2w_glrlm_ShortRunLowGrayLevelEmphasis,T2w_glszm_GrayLevelNonUniformity,T2w_glszm_GrayLevelNonUniformityNormalized,T2w_glszm_GrayLevelVariance,T2w_glszm_HighGrayLevelZoneEmphasis,T2w_glszm_LargeAreaEmphasis,T2w_glszm_LargeAreaHighGrayLevelEmphasis,T2w_glszm_LargeAreaLowGrayLevelEmphasis,T2w_glszm_LowGrayLevelZoneEmphasis,T2w_glszm_SizeZoneNonUniformity,T2w_glszm_SizeZoneNonUniformityNormalized,T2w_glszm_SmallAreaEmphasis,T2w_glszm_SmallAreaHighGrayLevelEmphasis,T2w_glszm_SmallAreaLowGrayLevelEmphasis,T2w_glszm_ZoneEntropy,T2w_glszm_ZonePercentage,T2w_glszm_ZoneVariance,T2w_gldm_DependenceEntropy,T2w_gldm_DependenceNonUniformity,T2w_gldm_DependenceNonUniformityNormalized,T2w_gldm_DependenceVariance,T2w_gldm_GrayLevelNonUniformity,T2w_gldm_GrayLevelVariance,T2w_gldm_HighGrayLevelEmphasis,T2w_gldm_LargeDependenceEmphasis,T2w_gldm_LargeDependenceHighGrayLevelEmphasis,T2w_gldm_LargeDependenceLowGrayLevelEmphasis,T2w_gldm_LowGrayLevelEmphasis,T2w_gldm_SmallDependenceEmphasis,T2w_gldm_SmallDependenceHighGrayLevelEmphasis,T2w_gldm_SmallDependenceLowGrayLevelEmphasis
1,1.497685677,1.347577442,33.54808833,55.37078836,54.5975706,64.70968981,61.67790203,68.68909675,59511.02157,41.37659336,1.370348042,11105.26868,0.972386728,59685.81808,162.1120936,285.3802465,11939400753,2.751991302,66.2614567,9.294180763,658.785342,40.64203281,218.7758948,211.5241956,56.61336753,602.9063612,28.28878386,226.8800856,1.537557029,11867492039,1.106843003,35684.80313,325.0413224,8.067045788,10881550,17625.93409,193.9955042,35.33911985,1.245544131,1.831732623,2.150284069,17.62320112,0.966285983,4.309971626,0.554876806,1.35173731,1.463123759,1.726951108,1.478786814,1.693890235,1.079774823,1.080077658,3.388601747,57.70084932,2645.487371,1.033416168,58.67278216,346.2669558,17.5606063,542.5500763,4.360174853,0.864336626,4.81850564,6526.907044,1.15088203,1.260114199,9.282719353,1.376057448,332.2481034,0.806503326,81.86253422,0.956439852,67.17763384,380.6744954,872855.1205,8681778.965,179299.962,0.895701236,671.3070343,1.03441536,1.289824894,322.7467902,0.820975422,5.81345577,0.776797765,863695.5246,6.779981387,1974.820684,0.806195214,35.75008634,7783.040299,57.90717993,343.4098249,234.9517684,5885.897654,41.72415772,0.856718509,0.78200426,239.2306077,0.736962254,1.500871556,1.349603957,32.67569598,53.65412521,53.07447508,62.65860703,60.00051032,66.62586994,55711.93628,40.30827047,1.375527608,10376.15929,0.976566911,55858.55252,903.802769,1788.407181,75271919540,5.88381872,491.9439455,3.769361335,2391.374093,278.6778409,1352.650395,1357.841004,356.4035043,2035.704975,205.125459,1396.593879,0.787197645,1.80287E+11,0.782749741,199082.7482,3253.615241,43.15296203,13990406.27,17795.83026,1048.834805,137.3666371,1.4701153,6.930565241,4.382841376,67.67350815,0.74510395,9.944023323,0.545270736,1.610169228,1.013944509,1.722449853,1.085595965,1.667689871,0.992597017,0.75849215,6.716594906,296.9175538,820.0061436,0.77907188,319.6551848,3102.960401,2.421764561,3714.667783,0.856943272,0.746532262,6.444374862,17607.07927,1.547813345,1.618403407,1.029728704,1.648626893,2984.8411,0.742931816,156.3185964,0.771674059,319.948128,2911.683285,10172.55849,1974278.769,908.5799469,0.745266802,3494.618106,1.146053927,1.391942261,2209.961044,0.740810151,7.955860321,1.072048735,10073.85658,8.567496146,4287.067404,0.925160265,7.726569201,1060.872512,319.3412952,3122.154745,28.51122701,27965.3069,3.189004095,0.747382122,1.040241526,1575.522006,0.735570824
1,1.377416631,1.227308396,33.42781928,55.25051931,54.47730156,64.58942077,61.55763298,68.56882771,59510.90131,41.25632432,1.250078996,11105.14841,0.852117682,59685.69782,161.9918246,285.2599775,11939400753,2.631722256,66.14118765,9.173911717,658.665073,40.52176376,218.6556258,211.4039265,56.49309848,602.7860921,28.16851481,226.7598165,1.417287983,11867492039,0.986573957,35684.68286,324.9210533,7.946776742,10881549.88,17625.81382,193.8752351,35.2188508,1.125275085,1.711463577,2.030015023,17.50293207,0.846016937,4.18970258,0.43460776,1.231468264,1.342854713,1.606682062,1.358517768,1.573621189,0.959505777,0.959808612,3.268332701,57.58058028,2645.367102,0.913147122,58.55251312,346.1466867,17.44033726,542.4298072,4.239905807,0.74406758,4.698236594,6526.786775,1.030612984,1.139845153,9.162450307,1.255788402,332.1278343,0.68623428,81.74226517,0.836170806,67.05736479,380.5542264,872855.0003,8681778.845,179299.8418,0.77543219,671.1867653,0.914146314,1.169555848,322.6265211,0.700706376,5.693186725,0.656528719,863695.4044,6.659712341,1974.700415,0.685926168,35.62981729,7782.92003,57.78691089,343.2895558,234.8314994,5885.777385,41.60388867,0.736449463,0.661735214,239.1103387,0.616693208,1.38060251,1.229334911,32.55542693,53.53385617,52.95420603,62.53833799,59.88024127,66.5056009,55711.81602,40.18800142,1.255258562,10376.03903,0.856297865,55858.43225,903.6824999,1788.286912,75271919540,5.763549674,491.8236764,3.649092289,2391.253823,278.5575718,1352.530126,1357.720735,356.2832352,2035.584706,205.00519,1396.473609,0.666928599,1.80287E+11,0.662480695,199082.628,3253.494971,43.03269299,13990406.15,17795.70999,1048.714536,137.2463681,1.349846254,6.810296195,4.26257233,67.5532391,0.624834904,9.823754277,0.42500169,1.489900182,0.893675463,1.602180807,0.965326919,1.547420825,0.872327971,0.638223104,6.59632586,296.7972847,819.8858745,0.658802834,319.5349158,3102.840131,2.301495515,3714.547514,0.736674226,0.626263216,6.324105816,17606.95901,1.427544299,1.498134361,0.909459658,1.528357847,2984.720831,0.62266277,156.1983274,0.651405013,319.8278589,2911.563016,10172.43822,1974278.648,908.4596778,0.624997756,3494.497837,1.025784881,1.271673215,2209.840775,0.620541105,7.835591275,0.951779689,10073.73631,8.4472271,4286.947135,0.804891219,7.606300155,1060.752243,319.2210261,3122.034476,28.39095796,27965.18663,3.068735049,0.627113076,0.91997248,1575.401737,0.615301778
1,1.088981088,0.938872853,33.13938374,54.96208377,54.18886602,64.30098523,61.26919744,68.28039216,59510.61287,40.96788877,0.961643454,11104.85997,0.563682139,59685.40938,161.7033891,284.9715419,11939400752,2.343286713,65.85275211,8.885476174,658.3766375,40.23332822,218.3671902,211.115491,56.20466294,602.4976566,27.88007927,226.471381,1.128852441,11867492039,0.698138414,35684.39442,324.6326178,7.6583412,10881549.59,17625.52539,193.5867996,34.93041526,0.836839543,1.423028035,1.741579481,17.21449653,0.557581394,3.901267037,0.146172217,0.943032721,1.05441917,1.318246519,1.070082226,1.285185646,0.671070235,0.671373069,2.979897159,57.29214473,2645.078667,0.624711579,58.26407757,345.8582512,17.15190171,542.1413717,3.951470264,0.455632038,4.409801052,6526.498339,0.742177441,0.85140961,8.874014764,0.967352859,331.8393988,0.397798737,81.45382963,0.547735264,66.76892925,380.2657908,872854.7118,8681778.556,179299.5533,0.486996647,670.8983297,0.625710771,0.881120306,322.3380856,0.412270833,5.404751182,0.368093177,863695.1159,6.371276799,1974.41198,0.397490626,35.34138175,7782.631595,57.49847535,343.0011203,234.5430638,5885.48895,41.31545313,0.44801392,0.373299671,238.8219031,0.328257666,1.092166968,0.940899369,32.26699139,53.24542063,52.66577049,62.24990245,59.59180573,66.21716536,55711.52758,39.89956588,0.96682302,10375.75059,0.567862323,55858.14381,903.3940644,1787.998476,75271919540,5.475114132,491.5352409,3.360656746,2390.965388,278.2691363,1352.24169,1357.4323,355.9947997,2035.29627,204.7167544,1396.185174,0.378493056,1.80287E+11,0.374045152,199082.3395,3253.206536,42.74425744,13990405.86,17795.42156,1048.4261,136.9579325,1.061410711,6.521860652,3.974136787,67.26480356,0.336399361,9.535318735,0.136566147,1.20146464,0.60523992,1.313745264,0.676891377,1.258985282,0.583892428,0.349787561,6.307890318,296.5088492,819.597439,0.370367292,319.2464802,3102.551696,2.013059972,3714.259079,0.448238684,0.337827673,6.035670273,17606.67057,1.139108756,1.209698819,0.621024116,1.239922305,2984.432395,0.334227228,155.9098918,0.36296947,319.5394234,2911.27458,10172.14978,1974278.36,908.1712423,0.336562213,3494.209401,0.737349338,0.983237672,2209.552339,0.332105563,7.547155732,0.663344147,10073.44787,8.158791558,4286.658699,0.516455676,7.317864612,1060.463808,318.9325906,3121.74604,28.10252242,27964.89819,2.780299506,0.338677534,0.631536937,1575.113302,0.326866235
1,,,33.71801273,55.54071276,54.767495,,,68.85902115,,,,11105.4386,1.142311125,59685.98801,,285.5501709,11939400753,,66.4313811,9.46410516,,40.8119572,,211.6941199,56.78329192,603.0762856,,227.05001,1.707481427,,,,,8.236970185,,17626.10401,,35.50904425,,,,17.79312551,1.13621038,,,1.521661707,1.633048156,,1.648711211,1.863814632,1.24969922,,3.558526144,57.87077372,2645.657296,,,,,542.7200007,4.53009925,1.034261023,4.988430037,6527.076968,1.320806427,,,,,,,1.126364249,67.34755823,,,,179300.1319,1.065625633,,,,322.9167146,,,,,6.949905784,1974.990609,0.976119611,,7783.210224,58.07710433,,235.1216928,5886.067579,41.89408212,1.026642906,0.951928657,,,1.670795953,,,,53.24439947,,,,,40.47819487,,,1.146491308,,903.9726934,,,,492.1138699,3.939285732,,278.8477653,1352.820319,,,2035.874899,205.2953834,,0.957122042,,0.952674138,,,43.32288643,,,,,1.640039697,7.100489638,4.552765773,,0.915028347,10.11394772,0.715195133,,1.183868906,1.89237425,,1.837614268,1.162521414,0.928416547,6.886519303,,,0.948996277,,,,,,,6.614299259,17607.2492,1.717737742,1.788327804,1.199653101,1.81855129,,0.912856213,,,,2911.853209,,1974278.939,,0.915191199,3494.78803,1.315978324,1.561866658,,,8.125784718,,10074.0265,,4287.237328,,7.896493598,1061.042437,,3122.324669,,27965.47682,,,,1575.691931,0.905495221
1,,,33.61661311,55.43931314,54.66609539,,,68.75762154,,,,11105.3372,1.040911512,59685.88661,,285.4487713,11939400753,,66.32998148,9.362705547,,40.71055759,,211.5927203,56.68189231,602.9748859,,226.9486104,1.606081814,,,,,8.135570573,,17626.00262,,35.40764463,,,,17.6917259,1.034810767,,,1.420262094,1.531648543,,1.547311599,1.762415019,1.148299608,,3.457126532,57.76937411,2645.555896,,,,,542.6186011,4.428699637,0.932861411,4.887030425,6526.975569,1.219406814,,,,,,,1.024964637,67.24615862,,,,179300.0306,0.96422602,,,,322.815315,,,,,6.848506172,1974.889209,0.874719999,,7783.108824,57.97570472,,235.0202932,5885.966179,41.7926825,0.925243293,0.850529044,,,1.569396341,,,,53.14299986,,,,,40.37679525,,,1.045091696,,903.8712938,,,,492.0124702,3.837886119,,278.7463657,1352.71892,,,2035.7735,205.1939838,,0.855722429,,0.851274525,,,43.22148682,,,,,1.538640084,6.999090025,4.45136616,,0.813628734,10.01254811,0.61379552,,1.082469293,1.790974637,,1.736214655,1.061121801,0.827016934,6.785119691,,,0.847596665,,,,,,,6.512899647,17607.1478,1.616338129,1.686928192,1.098253489,1.717151678,,0.811456601,,,,2911.75181,,1974278.837,,0.813791586,3494.686631,1.214578711,1.460467045,,,8.024385105,,10073.9251,,4287.135929,,7.795093985,1060.941037,,3122.223269,,27965.37542,,,,1575.590531,0.804095608
0,0.922664803,0.772556568,32.97306746,54.79576749,54.02254973,64.13466894,61.10288116,68.11407588,59510.44655,40.80157249,0.795327169,11104.69366,0.397365854,59685.24306,161.5370728,284.8052256,11939400752,2.176970428,65.68643582,8.719159889,658.2103212,40.06701193,218.2008739,210.9491747,56.03834665,602.3313403,27.71376299,226.3050647,0.962536156,11867492038,0.531822129,35684.22811,324.4663015,7.492024915,10881549.42,17625.35907,193.4204833,34.76409898,0.670523258,1.25671175,1.575263196,17.04818024,0.391265109,3.734950752,-0.020144068,0.776716436,0.888102885,1.151930234,0.903765941,1.118869361,0.50475395,0.505056784,2.813580874,57.12582845,2644.91235,0.458395295,58.09776129,345.6919349,16.98558543,541.9750554,3.785153979,0.289315753,4.243484767,6526.332023,0.575861156,0.685093325,8.707698479,0.801036574,331.6730825,0.231482452,81.28751334,0.381418979,66.60261296,380.0994745,872854.5455,8681778.39,179299.387,0.320680362,670.7320134,0.459394487,0.714804021,322.1717693,0.245954549,5.238434897,0.201776892,863694.9496,6.204960514,1974.245663,0.231174341,35.17506546,7782.465279,57.33215906,342.834804,234.3767476,5885.322633,41.14913685,0.281697635,0.206983387,238.6555868,0.161941381,0.925850683,0.774583084,32.1006751,53.07910434,52.4994542,62.08358616,59.42548945,66.05084907,55711.36126,39.7332496,0.800506735,10375.58427,0.401546038,55857.9775,903.2277481,1787.83216,75271919540,5.308797847,491.3689246,3.194340462,2390.799072,278.10282,1352.075374,1357.265983,355.8284834,2035.129954,204.5504381,1396.018858,0.212176771,1.80287E+11,0.207728868,199082.1732,3253.04022,42.57794116,13990405.7,17795.25524,1048.259784,136.7916162,0.895094427,6.355544367,3.807820502,67.09848728,0.170083076,9.36900245,-0.029750138,1.035148355,0.438923636,1.14742898,0.510575092,1.092668997,0.417576143,0.183471276,6.141574033,296.3425329,819.4311227,0.204051007,319.080164,3102.38538,1.846743688,3714.092762,0.281922399,0.171511388,5.869353989,17606.50425,0.972792471,1.043382534,0.454707831,1.07360602,2984.266079,0.167910943,155.7435755,0.196653185,319.3731071,2911.108264,10171.98347,1974278.194,908.004926,0.170245928,3494.043085,0.571033053,0.816921388,2209.386023,0.165789278,7.380839447,0.497027862,10073.28155,7.992475273,4286.492383,0.350139391,7.151548327,1060.297492,318.7662743,3121.579724,27.93620613,27964.73188,2.613983221,0.172361249,0.465220653,1574.946985,0.16054995
1,,,32.92512831,54.74782834,53.97461058,,,68.06613673,,,,11104.64572,0.349426706,59685.19512,,284.7572865,11939400752,,65.63849668,8.671220741,,40.01907278,,210.9012355,55.9904075,602.2834011,,226.2571255,0.914597007,,,,,7.444085766,,17625.31113,,34.71615983,,,,17.00024109,0.343325961,,,0.728777288,0.840163737,,0.855826792,1.070930213,0.456814801,,2.765641725,57.0778893,2644.864411,,,,,541.9271163,3.737214831,0.241376604,4.195545618,6526.284084,0.527922008,,,,,,,0.33347983,66.55467382,,,,179299.3391,0.272741214,,,,322.1238301,,,,,6.157021365,1974.197724,0.183235192,,7782.417339,57.28421991,,234.3288084,5885.274694,41.1011977,0.233758487,0.159044238,,,0.877911534,,,,52.45151505,,,,,39.68531045,,,0.353606889,,903.179809,,,,491.3209854,3.146401313,,278.0548808,1352.027435,,,2035.082015,204.502499,,0.164237623,,0.159789719,,,42.53000201,,,,,0.847155278,6.307605219,3.759881354,,0.122143928,9.321063301,-0.077689286,,0.390984487,1.099489831,,1.044729849,0.369636995,0.135532128,6.093634884,,,0.156111858,,,,,,,5.82141484,17606.45631,0.924853323,0.995443385,0.406768682,1.025666871,,0.119971794,,,,2911.060325,,1974278.146,,0.12230678,3493.995146,0.523093905,0.768982239,,,7.332900299,,10073.23362,,4286.444444,,7.103609178,1060.249552,,3121.531785,,27964.68394,,,,1574.899046,0.112610802
1,,,33.47625488,55.29895492,54.52573716,,,68.61726331,,,,11105.19685,0.900553283,59685.74625,,285.3084131,11939400753,,66.18962325,9.222347319,,40.57019936,,211.4523621,56.54153408,602.8345277,,226.8082521,1.465723585,,,,,7.995212344,,17625.86226,,35.2672864,,,,17.55136767,0.894452539,,,1.279903865,1.391290315,,1.40695337,1.622056791,1.007941379,,3.316768303,57.62901588,2645.415538,,,,,542.4782428,4.288341409,0.792503182,4.746672196,6526.83521,1.079048585,,,,,,,0.884606408,67.10580039,,,,179299.8902,0.823867791,,,,322.6749567,,,,,6.708147943,1974.748851,0.73436177,,7782.968466,57.83534649,,234.879935,5885.825821,41.65232428,0.784885064,0.710170816,,,1.429038112,,,,53.00264163,,,,,40.23643702,,,0.904733467,,903.7309355,,,,491.872112,3.697527891,,278.6060074,1352.578562,,,2035.633141,205.0536256,,0.7153642,,0.710916297,,,43.08112859,,,,,1.398281856,6.858731796,4.311007931,,0.673270505,9.872189879,0.473437291,,0.942111065,1.650616409,,1.595856427,0.920763573,0.686658705,6.644761462,,,0.707238436,,,,,,,6.372541418,17607.00744,1.475979901,1.546569963,0.95789526,1.576793449,,0.671098372,,,,2911.611452,,1974278.697,,0.673433357,3494.546273,1.074220483,1.320108817,,,7.884026877,,10073.78474,,4286.99557,,7.654735756,1060.800679,,3122.082911,,27965.23506,,,,1575.450173,0.663737379
0,,,32.91172415,54.73442418,53.96120643,,,68.05273258,,,,11104.63231,0.336022551,59685.18172,,284.7438823,11939400752,,65.62509252,8.657816587,,40.00566863,,210.8878314,55.97700335,602.269997,,226.2437214,0.901192853,,,,,7.430681612,,17625.29773,,34.70275567,,,,16.98683694,0.329921807,,,0.715373133,0.826759583,,0.842422638,1.057526058,0.443410647,,2.752237571,57.06448515,2644.851007,,,,,541.9137121,3.723810676,0.22797245,4.182141464,6526.27068,0.514517853,,,,,,,0.320075676,66.54126966,,,,179299.3257,0.259337059,,,,322.110426,,,,,6.143617211,1974.18432,0.169831038,,7782.403935,57.27081576,,234.3154042,5885.26129,41.08779354,0.220354332,0.145640084,,,0.86450738,,,,52.4381109,,,,,39.67190629,,,0.340202735,,903.1664048,,,,491.3075813,3.132997159,,278.0414767,1352.014031,,,2035.068611,204.4890948,,0.150833468,,0.146385565,,,42.51659786,,,,,0.833751124,6.294201064,3.746477199,,0.108739773,9.307659147,-0.091093441,,0.377580333,1.086085677,,1.031325694,0.356232841,0.122127973,6.08023073,,,0.142707704,,,,,,,5.808010686,17606.44291,0.911449168,0.982039231,0.393364528,1.012262717,,0.10656764,,,,2911.046921,,1974278.132,,0.108902625,3493.981742,0.509689751,0.755578085,,,7.319496144,,10073.22021,,4286.43104,,7.090205024,1060.236148,,3121.51838,,27964.67053,,,,1574.885642,0.099206647
0,1.169147335,1.0190391,33.21954999,55.04225002,54.26903226,64.38115147,61.34936369,68.36055841,59510.69304,41.04805502,1.041809701,11104.94014,0.643848386,59685.48955,161.7835553,285.0517082,11939400752,2.42345296,65.93291836,8.965642422,658.4568037,40.31349447,218.4473565,211.1956572,56.28482918,602.5778228,27.96024552,226.5515472,1.209018688,11867492039,0.778304661,35684.47459,324.7127841,7.738507447,10881549.67,17625.60555,193.6669658,35.01058151,0.91700579,1.503194282,1.821745728,17.29466277,0.637747642,3.981433284,0.226338464,1.023198968,1.134585418,1.398412766,1.150248473,1.365351894,0.751236482,0.751539316,3.060063406,57.37231098,2645.158833,0.704877827,58.34424382,345.9384174,17.23206796,542.2215379,4.031636512,0.535798285,4.489967299,6526.578506,0.822343688,0.931575858,8.954181011,1.047519106,331.919565,0.477964984,81.53399587,0.627901511,66.8490955,380.3459571,872854.792,8681778.636,179299.6335,0.567162894,670.978496,0.705877019,0.961286553,322.4182518,0.492437081,5.484917429,0.448259424,863695.1961,6.451443046,1974.492146,0.477656873,35.42154799,7782.711761,57.57864159,343.0812865,234.6232301,5885.569116,41.39561938,0.528180167,0.453465919,238.9020694,0.408423913,1.172333215,1.021065616,32.34715764,53.32558687,52.74593674,62.33006869,59.67197198,66.2973316,55711.60775,39.97973213,1.046989267,10375.83076,0.64802857,55858.22398,903.4742306,1788.078642,75271919540,5.555280379,491.6154071,3.440822994,2391.045554,278.3493025,1352.321857,1357.512466,356.0749659,2035.376437,204.7969207,1396.26534,0.458659303,1.80287E+11,0.4542114,199082.4197,3253.286702,42.82442369,13990405.94,17795.50172,1048.506266,137.0380988,1.141576959,6.602026899,4.054303034,67.34496981,0.416565608,9.615484982,0.216732394,1.281630887,0.685406168,1.393911512,0.757057624,1.33915153,0.664058676,0.429953808,6.388056565,296.5890154,819.6776052,0.450533539,319.3266465,3102.631862,2.09322622,3714.339245,0.528404931,0.41799392,6.115836521,17606.75074,1.219275004,1.289865066,0.701190363,1.320088552,2984.512561,0.414393475,155.9900581,0.443135717,319.6195896,2911.354747,10172.22995,1974278.44,908.2514085,0.41672846,3494.289568,0.817515586,1.06340392,2209.632506,0.41227181,7.627321979,0.743510394,10073.52804,8.238957805,4286.738866,0.596621923,7.398030859,1060.543974,319.0127569,3121.826206,28.18268867,27964.97836,2.860465754,0.418843781,0.711703185,1575.193468,0.407032482
